"huff","mengeluh","",""
"huft","mengeluh","",""
"gws","cepat sembuh","",""
"ha","tertawa","",""
"hahaghag","tertawa","",""
"haha","tertawa","",""
"hahaha","tertawa","",""
"hahhaa","tertawa","",""
"hahhak","tertawa","",""
"hallow","halo","",""
"handak","bahan peledak","",""
"hankam","pertahanan dan keamanan","",""
"imba","jago sekali","",""
"imho","in my humble opinion","",""
"imoet","imut","",""
"imoetz","imut","",""
"indah","indah","",""
"indh","indah","",""
"info","informasi","",""
"ingi","ingin","",""
"instagramabel","instagramable","",""
"inu","ini","",""
"istagramable","instagramable","",""
"istirhat","istirahat","",""
"item","hitam","",""
"itung","hitung","",""
"itungan","hitungan","",""
"iy","iya","",""
"iye","iya","",""
"iyo","iya","",""
"ja","saja","",""
"jablay","jarang dibelai","",""
"jadikbalau","jadi kalau","",""
"jadiin","jadikan","",""
"jadul","jaman dulu","",""
"jaim","jaga image","",""
"jajanan","jajanan","",""
"jamek","jamik","",""
"jami","jamik","",""
"jancuk","anjing","",""
"jayus","tidak lucu","",""
"hujung","ujung","",""
"hum","rumah","",""
"humas","hubungan masyarakat","",""
"humz","rumah","",""
"khusus","khusus","",""
"idk","saya tidak tahu","",""
"idup","hidup","",""
"ilang","hilang","",""
"ilfeel","tidak suka","",""
"ilfil","tidak suka","",""
"jijay","jijik","",""
"jir","anjing","",""
"jkt","Jakarta","",""
"jln","jalan","",""
"jlnx","jalannya","",""
"jm","jam","",""
"jnj","janji","",""
"joging","jogging","",""
"jomblo","tidak punya pacar","",""
"jth","jatuh","",""
"jubir","juru bicara","",""
"jugak","juga","",""
"jurdil","jujur adil","",""
"jutek","galak","",""
"jwb","jawab","",""
"k","ke","",""
"ka","kakak","",""
"kab","kabupaten","",""
"kabag","kepala bagian","",""
"kabor","kabur","",""
"kacian","kasihan","",""
"kacrut","kacau","",""
"kadit","kepala direktorat","",""
"kadiv","kepala divisi","",""
"kaga","tidak","",""
"kakak","kakak","",""
"kale","kali","",""
"kalee","kali","",""
"d","jadi","",""
"jdi","jadi","",""
"jdikan","jadikan","",""
"jellek","jelek","",""
"jem","jam","",""
"jerhih","jernih","",""
"jernih","jernih","",""
"jg","juga","",""
"jga","juga","",""
"jgn","jangan","",""
"jenkan","jangankan","",""
"karna","karena","",""
"kasat","kepala satuan","",""
"kasih","kasih","",""
"kasubbag","kepala subbagian","",""
"kasubbid","kepala subbidang","",""
"katrok","kampungan","",""
"kau","kamu","",""
"kayak","seperti","",""
"kayanya","kayaknya","",""
"kbar","kabar","",""
"kebersihan","kebersihan","",""
"kbr","kabar","",""
"kcian","kasihan","",""
"kdu","harus","",""
"keburu","terlanjur","",""
"kec","kecamatan","",""
"kedubes","kedutaan besar","",""
"kejurmas","kejuaraan nasional","",""
"kek","seperti","",""
"kekeh","keras kepala","",""
"keknya","kayaknya","",""
"kel","kelurahan","",""
"kelaitan","kelihatan","",""
"kemajuaannya","kemajuannya","",""
"kemaren","kemarin","",""
"keneh","masih","",""
"kepengen","mau","",""
"kepikiran","terpikirkan","",""
"kalo","kalau","",""
"kalok","kalau","",""
"kalu","kalau","",""
"kampret","sialan","",""
"kamtib","keamanan dan ketertiban","",""
"kamtibmas","keamanan dan ketertiban masyarakat","",""
"kamuh","kamu","",""
"kamuwh","kamu","",""
"kamyu","kamu","",""
"kanwil","kantor wilayah","",""
"kapt","kapten","",""
"keukeuh","keras kepala","",""
"kgiatan","kegiatan","",""
"khan","kan","",""
"kibul","bohong","",""
"kibus","kaki busuk","",""
"kimpoi","kawin","",""
"kisni","kesini","",""
"kjam","jam","",""
"kjemihan","kejernihan","",""
"kk","kakak","",""
"kkbebetulan","kebetulan","",""
"kl","kalau","",""
"klau","kalau","",""
"klian","kalian","",""
"klianz","kalian","",""
"kliatan","kelihatan","",""
"klo","kalau","",""
"klok","kalau","",""
"kloter","kelompok terbang","",""
"klrga","keluarga","",""
"khu","kalau","",""
"kluarga","keluarga","",""
"klw","kalau","",""
"klwga","keluarga","",""
"km","kamu","",""
"kmari","kemari","",""
"kni","kami","",""
"kmps","kampus","",""
"kepingin","mau","",""
"kepo","mau tahu urusan orang","",""
"kepsek","kepala sekolah","",""
"kerbat","kerabat","",""
"kere","tidak punya uang","",""
"kereenn","keren","",""
"keren","keren","",""
"kerenz","keren","",""
"kesbang","kesatuan bangsa","",""
"kesian","kasihan","",""
"kesra","kesejahteraan rakyat","",""
"ketauan","ketahuan","",""
"ketje","kece","",""
"ketrima","diterima","",""
"kongkow","kumpul bareng teman teman","",""
"konjen","konsulat jenderal","",""
"kopdar","kopi darat","",""
"koq","kok","",""
"korang","orang","",""
"korup","korupsi","",""
"kotax","kotanya","",""
"koya","kota","",""
"kapalnya","kapalnya","",""
"kparkir","parkir","",""
"kpd","kepada","",""
"kpenginapan","penginapan","",""
"kptsn","keputusan","",""
"kraton","keraton","",""
"karena","karena","",""
"kren","keren","",""
"krg","kurang","",""
"krik","garing","",""
"krm","kirim","",""
"krn","karena","",""
"krna","karena","",""
"ksana","kesana","",""
"ksh","kasih","",""
"ksna","kesana","",""
"kmpus","kampus","",""
"kmren","kemarin","",""
"kmrn","kemarin","",""
"kn","kan","",""
"knal","kenal","",""
"knl","kenal","",""
"knp","kenapa","",""
"knpa","kenapa","",""
"kodya","kota madya","",""
"kog","kok","",""
"komdis","komisi disiplin","",""
"kompi","komputer","",""
"komsov","komunis sovyet","",""
"komtiong","komunis Tiongkok","",""
"kweren","keren","",""
"kwren","keren","",""
"ky","seperti","",""
"kyk","seperti","",""
"kyknya","kayaknya","",""
"kyknyaak","kayaknya","",""
"la","lah","",""
"laka","kecelakaan","",""
"lam","salam","",""
"lambreta","lambat","",""
"lamp","lampiran","",""
"langsg","langsung","",""
"lansia","lanjut usia","",""
"lanud","landasan udara","",""
"lapangen","lapangan","",""
"lapas","lembaga pemasyarakatan","",""
"laper","lapar","",""
"latgab","latihan gabungan","",""
"lbh","lebih","",""
"lbih","lebih","",""
"libur","libur","",""
"lebay","berlebihan","",""
"leh","boleh","",""
"lekong","laki laki","",""
"lelet","lambat","",""
"ksni","ke sini","",""
"kt","kita","",""
"ktauan","ketahuan","",""
"ktergantung","tergantung","",""
"ktiket","tiket","",""
"ktmu","ketemu","",""
"ktny","katanya","",""
"ktr","kantor","",""
"kudu","harus","",""
"kulinr","kuliner","",""
"kuna","kuno","",""
"kuper","kurang pergaulan","",""
"kuq","kok","",""
"kurleb","kurang lebih","",""
"kw","imitasi","",""
"loe","kamu","",""
"lol","tertawa","",""
"lola","lambat berpikir","",""
"lom","belum","",""
"louph","cinta","",""
"loupz","cinta","",""
"low","kalau","",""
"lowh","kamu","",""
"lp","lupa","",""
"lsg","langsung","",""
"lu","kamu","",""
"luber","langsung umum bebas dan rahasia","",""
"luchu","lucu","",""
"luchuw","lucu","",""
"luff","cinta","",""
"lum","belum","",""
"luph","cinta","",""
"luthu","lucu","",""
"lw","kamu","",""
"lwn","lawan","",""
"lwt","lewat","",""
"mazcih","terima kasih","",""
"mazciw","terima kasih","",""
"mabal","bolos","",""
"lemot","lambat berpikir","",""
"lenkap","lengkap","",""
"lg","lagi","",""
"lgi","lagi","",""
"lgkp","lengkap","",""
"lgsg","langsung","",""
"lht","lihat","",""
"liat","lihat","",""
"linmas","perlindungan masyarakat","",""
"litbang","penelitian dan pengembangan","",""
"lmyan","lumayan","",""
"lmyn","lumayan","",""
"lngkp","lengkap","",""
"lo","kamu","",""
"loch","loh","",""
"malan","malam","",""
"malem","malam","",""
"malu2in","memalukan","",""
"maim","makan","",""
"mamz","makan","",""
"maneh","kamu","",""
"maniez","manis","",""
"maniez","manis","",""
"mantab","mantap","",""
"mantabz","mantap","",""
"mantaff","mantap","",""
"mantaps","mantap","",""
"manteb","mantap","",""
"mantepp","mantap","",""
"mantepp","mantap","",""
"mantul","mantap betul","",""
"mao","mau","",""
"markus","makelar kasus","",""
"masala","masalah","",""
"mash","masih","",""
"masi","masih","",""
"masi","masih","",""
"masukin","masukkan","",""
"mba","mbak","",""
"mabes","markas besar","",""
"macem","macam","",""
"macem macem","macam macam","",""
"macih","masih","",""
"madesu","masa depan suram","",""
"maem","makan","",""
"maen","main","",""
"maenarik","menarik","",""
"magabut","makan gaji buta","",""
"mahatma","maju sehat bersama","",""
"maho","homo","",""
"mak","ibu","",""
"mak jang","kaget","",""
"makasih","terima kasih","",""
"makin","makin","",""
"makn","makan","",""
"maksain","memaksa","",""
"malah","bahkan","",""
"miker","minuman keras","",""
"mikol","minuman beralkohol","",""
